Territorialidade,Posicao IDHM,IDHM,Posi  o IDHM Renda,IDHM Renda,Posi  o IDHM Educa  o,IDHM Educa  o,Posi  o IDHM Longevidade,IDHM Longevidade,Posi  o Mulheres,IDHM Mulheres,Posi  o Homens,IDHM Homens,Posi  o Negros,IDHM Negros,Posi  o Brancos,IDHM Brancos,Posi  o Urbano,IDHM Urbano,Posi  o Rural,IDHM Rural
Firmino Alves (BA),4670,0.578,3678,0.596,4614,0.464,5487,0.699,,,,,,,,,,,,
Alcantil (PB),4670,0.578,4670,0.55,4724,0.458,4304,0.765,,,,,,,,,,,,
Ant nio Martins (RN),4670,0.578,4583,0.554,4724,0.458,4452,0.76,,,,,,,,,,,,
Itamb  (BA),4670,0.578,3796,0.589,4999,0.436,4758,0.75,,,,,,,,,,,,
Aparecida (PB),4670,0.578,4268,0.567,4742,0.456,4826,0.747,,,,,,,,,,,,
Tapero  (PB),4670,0.578,4351,0.564,4742,0.456,4770,0.749,,,,,,,,,,,,
S o Jos  do Bonfim (PB),4670,0.578,4698,0.549,4095,0.493,5367,0.713,,,,,,,,,,,,
Itamari (BA),4670,0.578,3695,0.595,4774,0.454,5367,0.713,,,,,,,,,,,,
Curu  (PA),4670,0.578,5423,0.501,4066,0.495,3751,0.78,,,,,,,,,,,,
Aquidab  (SE),4670,0.578,4137,0.573,4808,0.452,4826,0.747,,,,,,,,,,,,
Alvorada do Gurgu ia (PI),4670,0.578,5235,0.52,4047,0.496,4770,0.749,,,,,,,,,,,,
Bel m do Brejo do Cruz (PB),4670,0.578,4670,0.55,4821,0.451,3775,0.779,,,,,,,,,,,,
Piritiba (BA),4670,0.578,4288,0.566,4852,0.449,4452,0.76,,,,,,,,,,,,
Cachoeira de Paje  (MG),4670,0.578,4376,0.563,4909,0.444,4100,0.771,,,,,,,,,,,,
Francisco Ayres (PI),4695,0.577,4322,0.565,4839,0.45,4579,0.756,,,,,,,,,,,,
Vereda (BA),4695,0.577,4243,0.568,4999,0.436,3871,0.777,,,,,,,,,,,,
Barra D'Alc ntara (PI),4695,0.577,5154,0.526,4502,0.471,3871,0.777,,,,,,,,,,,,
Ibaretama (CE),4695,0.577,5271,0.517,4183,0.489,4484,0.759,,,,,,,,,,,,
S o Sebasti o do Uatum  (AM),4695,0.577,4425,0.561,4614,0.464,4989,0.739,,,,,,,,,,,,
Barra do Rocha (BA),4695,0.577,3876,0.585,4599,0.465,5439,0.705,,,,,,,,,,,,
Mar Vermelho (AL),4695,0.577,4903,0.54,4599,0.465,4272,0.766,,,,,,,,,,,,
Paripiranga (BA),4695,0.577,4268,0.567,4487,0.472,5332,0.717,,,,,,,,,,,,
Tanha u (BA),4695,0.577,4322,0.565,4956,0.44,4064,0.772,,,,,,,,,,,,
Autazes (AM),4695,0.577,4927,0.539,4887,0.446,3167,0.799,,,,,,,,,,,,
Nossa Senhora Aparecida (SE),4695,0.577,4054,0.577,5083,0.43,3987,0.774,,,,,,,,,,,,
Brasileira (PI),4695,0.577,4161,0.572,4887,0.446,4697,0.752,,,,,,,,,,,,
Santa Cruz de Salinas (MG),4695,0.577,4720,0.548,4631,0.463,4552,0.757,,,,,,,,,,,,
Contendas do Sincor  (BA),4695,0.577,3998,0.579,4390,0.477,5504,0.695,,,,,,,,,,,,
Uni o (PI),4695,0.577,4855,0.542,4793,0.453,3726,0.781,,,,,,,,,,,,
Camet  (PA),4695,0.577,4945,0.538,4447,0.474,4625,0.754,,,,,,,,,,,,
Gracho Cardoso (SE),4695,0.577,4403,0.562,4560,0.468,5160,0.729,,,,,,,,,,,,
Barra de Guabiraba (PE),4695,0.577,4504,0.558,4447,0.474,5207,0.726,,,,,,,,,,,,
Santa Cruz dos Milagres (PI),4695,0.577,5191,0.524,3814,0.509,5306,0.719,,,,,,,,,,,,
Quixaba (PE),4695,0.577,5096,0.53,4284,0.482,4697,0.752,,,,,,,,,,,,
Pindoba u (BA),4695,0.577,5140,0.527,4284,0.482,4552,0.757,,,,,,,,,,,,
S o Jos  de Espinharas (PB),4695,0.577,4828,0.543,4862,0.448,3511,0.79,,,,,,,,,,,,
Primavera (PA),4695,0.577,4180,0.571,5011,0.435,4064,0.772,,,,,,,,,,,,
Pirapemas (MA),4718,0.576,5423,0.501,3716,0.514,4958,0.741,,,,,,,,,,,,
Ibirataia (BA),4718,0.576,4180,0.571,5145,0.424,3540,0.789,,,,,,,,,,,,
Porto Acre (AC),4718,0.576,3734,0.593,5206,0.418,4100,0.771,,,,,,,,,,,,
Alagoa Nova (PB),4718,0.576,4268,0.567,4821,0.451,4770,0.749,,,,,,,,,,,,
Goiatins (TO),4718,0.576,4876,0.541,4646,0.462,4304,0.765,,,,,,,,,,,,
Canto do Buriti (PI),4718,0.576,4180,0.571,4646,0.462,5241,0.724,,,,,,,,,,,,
Bela Vista do Piau  (PI),4718,0.576,5235,0.52,3618,0.519,5405,0.709,,,,,,,,,,,,
Rio do Ant nio (BA),4718,0.576,4565,0.555,4599,0.465,4978,0.74,,,,,,,,,,,,
 gua Boa (MG),4718,0.576,3716,0.594,5308,0.403,3167,0.799,,,,,,,,,,,,
Olho D' gua do Piau  (PI),4718,0.576,4963,0.537,4390,0.477,4860,0.746,,,,,,,,,,,,
Jo o Alfredo (PE),4718,0.576,4226,0.569,4588,0.466,5291,0.72,,,,,,,,,,,,
Nazar  do Piau  (PI),4718,0.576,5075,0.531,3792,0.51,5423,0.707,,,,,,,,,,,,
Gongogi (BA),4718,0.576,4828,0.543,4742,0.456,4028,0.773,,,,,,,,,,,,
Itaubal (AP),4718,0.576,5127,0.528,4390,0.477,4509,0.758,,,,,,,,,,,,
Tarrafas (CE),4718,0.576,5110,0.529,4284,0.482,4732,0.751,,,,,,,,,,,,
Carinhanha (BA),4718,0.576,5172,0.525,4390,0.477,4366,0.763,,,,,,,,,,,,
Po  o de Pedras (MA),4718,0.576,4828,0.543,4306,0.481,5105,0.732,,,,,,,,,,,,
Frei Miguelinho (PE),4718,0.576,4089,0.575,4973,0.438,4509,0.758,,,,,,,,,,,,
Coroat  (MA),4718,0.576,4779,0.545,4430,0.475,5032,0.737,,,,,,,,,,,,
Exu (PE),4718,0.576,4828,0.543,4774,0.454,3948,0.775,,,,,,,,,,,,
Irajuba (BA),4718,0.576,4804,0.544,4793,0.453,3897,0.776,,,,,,,,,,,,
Maiquinique (BA),4718,0.576,3853,0.586,4487,0.472,5520,0.69,,,,,,,,,,,,
Vila Flor (RN),4718,0.576,4425,0.561,4502,0.471,5268,0.722,,,,,,,,,,,,
Riach o (MA),4718,0.576,4161,0.572,4936,0.442,4552,0.757,,,,,,,,,,,,
Jita na (BA),4742,0.575,4376,0.563,4351,0.479,5444,0.704,,,,,,,,,,,,
Montes Altos (MA),4742,0.575,5021,0.534,4231,0.486,5105,0.732,,,,,,,,,,,,
Saboeiro (CE),4742,0.575,5037,0.533,3988,0.499,5347,0.715,,,,,,,,,,,,
Paes Landim (PI),4742,0.575,4963,0.537,4116,0.492,5284,0.721,,,,,,,,,,,,
Sim es (PI),4742,0.575,4451,0.56,4956,0.44,4100,0.771,,,,,,,,,,,,
Pirip  (BA),4742,0.575,4740,0.547,4793,0.453,4204,0.768,,,,,,,,,,,,
V rzea do Po o (BA),4742,0.575,3955,0.581,4646,0.462,5423,0.707,,,,,,,,,,,,
Itamb  (PE),4742,0.575,4288,0.566,4631,0.463,5193,0.727,,,,,,,,,,,,
Abar  (BA),4742,0.575,5037,0.533,4693,0.46,3897,0.776,,,,,,,,,,,,
Botupor  (BA),4742,0.575,4828,0.543,4614,0.464,4625,0.754,,,,,,,,,,,,
Olinda Nova do Maranh o (MA),4742,0.575,5457,0.495,3368,0.531,5241,0.724,,,,,,,,,,,,
Boa Hora (PI),4742,0.575,5021,0.534,4693,0.46,4064,0.772,,,,,,,,,,,,
Barra da Estiva (BA),4742,0.575,4288,0.566,4544,0.469,5332,0.717,,,,,,,,,,,,
Ch  Preta (AL),4742,0.575,4963,0.537,4306,0.481,5032,0.737,,,,,,,,,,,,
Belo Campo (BA),4742,0.575,4403,0.562,4909,0.444,4452,0.76,,,,,,,,,,,,
Jaqueira (PE),4742,0.575,4529,0.557,4774,0.454,4732,0.751,,,,,,,,,,,,
Jupi (PE),4742,0.575,4451,0.56,4216,0.487,5494,0.698,,,,,,,,,,,,
Mocajuba (PA),4742,0.575,4927,0.539,4572,0.467,4625,0.754,,,,,,,,,,,,
Parnagu  (PI),4742,0.575,5154,0.526,4614,0.464,3871,0.777,,,,,,,,,,,,
Junqueiro (AL),4742,0.575,3853,0.586,4774,0.454,5359,0.714,,,,,,,,,,,,
Capixaba (AC),4742,0.575,3607,0.601,5342,0.398,3362,0.794,,,,,,,,,,,,
Aratu pe (BA),4742,0.575,4201,0.57,4920,0.443,4661,0.753,,,,,,,,,,,,
Barreirinha (AM),4764,0.574,5534,0.469,3549,0.522,3987,0.774,,,,,,,,,,,,
Bara na (RN),4764,0.574,4403,0.562,4887,0.446,4579,0.756,,,,,,,,,,,,
Santa In s (BA),4764,0.574,4180,0.571,4532,0.47,5444,0.704,,,,,,,,,,,,
Santana do Piau  (PI),4764,0.574,4927,0.539,4409,0.476,5049,0.736,,,,,,,,,,,,
Catingueira (PB),4764,0.574,4609,0.553,4758,0.455,4661,0.753,,,,,,,,,,,,
Pau D'Arco (PA),4764,0.574,4180,0.571,4920,0.443,4794,0.748,,,,,,,,,,,,
Brejinho (PE),4764,0.574,4376,0.563,4095,0.493,5549,0.681,,,,,,,,,,,,
Carutapera (MA),4764,0.574,5037,0.533,4409,0.476,4826,0.747,,,,,,,,,,,,
Riach o (PB),4764,0.574,5297,0.515,4306,0.481,4366,0.763,,,,,,,,,,,,
Cai ara do Norte (RN),4764,0.574,4161,0.572,4774,0.454,5193,0.727,,,,,,,,,,,,
Igrapi na (BA),4764,0.574,4322,0.565,5145,0.424,3540,0.789,,,,,,,,,,,,
Benjamin Constant (AM),4764,0.574,5154,0.526,4502,0.471,4366,0.763,,,,,,,,,,,,
Mogeiro (PB),4764,0.574,4945,0.538,4306,0.481,5105,0.732,,,,,,,,,,,,
Janu rio Cicco (RN),4764,0.574,5347,0.511,4306,0.481,4100,0.771,,,,,,,,,,,,
Buriti dos Montes (PI),4764,0.574,5140,0.527,4693,0.46,3751,0.78,,,,,,,,,,,,
S o F lix do Tocantins (TO),4764,0.574,4670,0.55,4887,0.446,4100,0.771,,,,,,,,,,,,
Maragogi (AL),4764,0.574,4551,0.556,4920,0.443,4272,0.766,,,,,,,,,,,,
Pedra Lavrada (PB),4764,0.574,4351,0.564,4724,0.458,5094,0.733,,,,,,,,,,,,
Santo Ant nio do Jacinto (MG),4764,0.574,4089,0.575,5111,0.427,4064,0.772,,,,,,,,,,,,
Pindoba (AL),4764,0.574,3998,0.579,4599,0.465,5456,0.703,,,,,,,,,,,,
Ia u (BA),4764,0.574,3817,0.588,4672,0.461,5499,0.697,,,,,,,,,,,,
Bonito de Santa F  (PB),4764,0.574,4351,0.564,5111,0.427,3629,0.786,,,,,,,,,,,,
Nova Olinda (PB),4786,0.573,4529,0.557,4793,0.453,4893,0.744,,,,,,,,,,,,
Manoel Em dio (PI),4786,0.573,5021,0.534,4588,0.466,4509,0.758,,,,,,,,,,,,
Capela (AL),4786,0.573,4583,0.554,4742,0.456,4916,0.743,,,,,,,,,,,,
Cerro Azul (PR),4786,0.573,3562,0.604,5384,0.391,3252,0.797,,,,,,,,,,,,
Caldeir o Grande (BA),4786,0.573,5154,0.526,4463,0.473,4509,0.758,,,,,,,,,,,,
Alc ntara (MA),4786,0.573,5172,0.525,4430,0.475,4661,0.753,,,,,,,,,,,,
Carnaubeira da Penha (PE),4786,0.573,5473,0.491,3832,0.508,4602,0.755,,,,,,,,,,,,
S o Jos  da Laje (AL),4786,0.573,4116,0.574,5031,0.434,4602,0.755,,,,,,,,,,,,
Tacaratu (PE),4786,0.573,5226,0.521,3847,0.507,5388,0.711,,,,,,,,,,,,
Ipueiras (CE),4786,0.573,5021,0.534,4351,0.479,5063,0.735,,,,,,,,,,,,
Soss go (PB),4786,0.573,5075,0.531,4693,0.46,4168,0.769,,,,,,,,,,,,
S o Sebasti o do Tocantins (TO),4786,0.573,5284,0.516,4216,0.487,4794,0.748,,,,,,,,,,,,
Pedra Bonita (MG),4786,0.573,4529,0.557,4733,0.457,4978,0.74,,,,,,,,,,,,
Cristal ndia do Piau  (PI),4786,0.573,5226,0.521,4544,0.469,4131,0.77,,,,,,,,,,,,
Sobrado (PB),4786,0.573,5172,0.525,4390,0.477,4661,0.753,,,,,,,,,,,,
S o Jos  do Peixe (PI),4786,0.573,4720,0.548,4852,0.449,4272,0.766,,,,,,,,,,,,
Barra de S o Miguel (PB),4802,0.572,3894,0.584,4956,0.44,5175,0.728,,,,,,,,,,,,
Riachinho (TO),4802,0.572,5401,0.503,4163,0.49,4452,0.76,,,,,,,,,,,,
Alvorada de Minas (MG),4802,0.572,4201,0.57,5238,0.414,3362,0.794,,,,,,,,,,,,
Ouricuri (PE),4802,0.572,4023,0.578,5197,0.419,4028,0.773,,,,,,,,,,,,
Itapebi (BA),4802,0.572,4243,0.568,4724,0.458,5321,0.718,,,,,,,,,,,,
Mairi (BA),4802,0.572,4089,0.575,4973,0.438,4893,0.744,,,,,,,,,,,,
S tio Novo (RN),4802,0.572,5127,0.528,4143,0.491,5268,0.722,,,,,,,,,,,,
Pia abu u (AL),4802,0.572,4945,0.538,4351,0.479,5193,0.727,,,,,,,,,,,,
Olho D' gua (PB),4802,0.572,5037,0.533,4808,0.452,3897,0.776,,,,,,,,,,,,
Rio Grande do Piau  (PI),4802,0.572,4628,0.552,4936,0.442,4245,0.767,,,,,,,,,,,,
Itaet  (BA),4802,0.572,4987,0.536,4241,0.485,5306,0.719,,,,,,,,,,,,
Angelim (PE),4802,0.572,4565,0.555,4862,0.448,4732,0.751,,,,,,,,,,,,
Matur ia (PB),4802,0.572,4903,0.54,4447,0.474,5145,0.73,,,,,,,,,,,,
Matina (BA),4802,0.572,4945,0.538,4544,0.469,4978,0.74,,,,,,,,,,,,
S o Br s (AL),4802,0.572,5037,0.533,4332,0.48,5105,0.732,,,,,,,,,,,,
Governador Eug nio Barros (MA),4802,0.572,4670,0.55,4646,0.462,5049,0.736,,,,,,,,,,,,
 gua Branca (PB),4802,0.572,4855,0.542,4259,0.484,5377,0.712,,,,,,,,,,,,
Santa In s (PB),4802,0.572,4903,0.54,4116,0.492,5431,0.706,,,,,,,,,,,,
Tuntum (MA),4802,0.572,5021,0.534,4272,0.483,5207,0.726,,,,,,,,,,,,
Cumaru (PE),4802,0.572,4609,0.553,4532,0.47,5291,0.72,,,,,,,,,,,,
Planaltino (BA),4802,0.572,4137,0.573,4646,0.462,5415,0.708,,,,,,,,,,,,
S o Bernardo (MA),4802,0.572,5310,0.514,4351,0.479,4400,0.762,,,,,,,,,,,,
Inhangapi (PA),4802,0.572,4670,0.55,4742,0.456,4794,0.748,,,,,,,,,,,,
Rio Real (BA),4802,0.572,4243,0.568,4808,0.452,5160,0.729,,,,,,,,,,,,
Touros (RN),4802,0.572,4403,0.562,4588,0.466,5339,0.716,,,,,,,,,,,,
Santa Helena (MA),4827,0.571,5075,0.531,4502,0.471,4860,0.746,,,,,,,,,,,,
Calumbi (PE),4827,0.571,4268,0.567,4693,0.46,5347,0.715,,,,,,,,,,,,
Iramaia (BA),4827,0.571,4828,0.543,4631,0.463,4978,0.74,,,,,,,,,,,,
Pedro Ii (PI),4827,0.571,4288,0.566,5104,0.428,4245,0.767,,,,,,,,,,,,
Palmeirante (TO),4827,0.571,4351,0.564,4999,0.436,4579,0.756,,,,,,,,,,,,
Vieir polis (PB),4827,0.571,4963,0.537,4758,0.455,4400,0.762,,,,,,,,,,,,
Novo Cruzeiro (MG),4827,0.571,4403,0.562,5229,0.415,3252,0.797,,,,,,,,,,,,
Itapitanga (BA),4827,0.571,4987,0.536,4774,0.454,4329,0.764,,,,,,,,,,,,
Jussara (BA),4827,0.571,4804,0.544,4409,0.476,5291,0.72,,,,,,,,,,,,
Barroquinha (CE),4827,0.571,5337,0.512,3883,0.505,5291,0.72,,,,,,,,,,,,
Piat  (BA),4827,0.571,4828,0.543,4874,0.447,4168,0.769,,,,,,,,,,,,
V rzea Grande (PI),4827,0.571,4583,0.554,4447,0.474,5415,0.708,,,,,,,,,,,,
Vi osa do Cear  (CE),4827,0.571,5226,0.521,4430,0.475,4661,0.753,,,,,,,,,,,,
Caturama (BA),4827,0.571,4828,0.543,4887,0.446,4131,0.77,,,,,,,,,,,,
Japaratinga (AL),4841,0.57,4451,0.56,4821,0.451,5063,0.735,,,,,,,,,,,,
Barreirinhas (MA),4841,0.57,5297,0.515,4351,0.479,4697,0.752,,,,,,,,,,,,
S o Francisco do Piau  (PI),4841,0.57,4529,0.557,4862,0.448,4893,0.744,,,,,,,,,,,,
Mata Roma (MA),4841,0.57,5499,0.483,4081,0.494,3897,0.776,,,,,,,,,,,,
Senador Georgino Avelino (RN),4841,0.57,4828,0.543,4758,0.455,4794,0.748,,,,,,,,,,,,
Itua u (BA),4841,0.57,4322,0.565,5131,0.425,4131,0.77,,,,,,,,,,,,
Nova Ibi  (BA),4841,0.57,3322,0.62,5197,0.419,5359,0.714,,,,,,,,,,,,
Pitimbu (PB),4841,0.57,4945,0.538,4742,0.456,4661,0.753,,,,,,,,,,,,
Lagoa de Dentro (PB),4841,0.57,4927,0.539,4909,0.444,4064,0.772,,,,,,,,,,,,
S o Jo o (PE),4841,0.57,4322,0.565,5123,0.426,4204,0.768,,,,,,,,,,,,
Gra a (CE),4841,0.57,5310,0.514,4390,0.477,4602,0.755,,,,,,,,,,,,
Novo Air o (AM),4841,0.57,4649,0.551,5031,0.434,3897,0.776,,,,,,,,,,,,
Gra a Aranha (MA),4841,0.57,4945,0.538,4711,0.459,4794,0.748,,,,,,,,,,,,
Casa Nova (BA),4841,0.57,4054,0.577,5011,0.435,5049,0.736,,,,,,,,,,,,
Ara as (BA),4841,0.57,4903,0.54,4646,0.462,4893,0.744,,,,,,,,,,,,
Brotas de Maca bas (BA),4841,0.57,4628,0.552,4902,0.445,4625,0.754,,,,,,,,,,,,
Esperantina (TO),4841,0.57,5457,0.495,3502,0.524,5347,0.715,,,,,,,,,,,,
Riacho das Almas (PE),4841,0.57,3853,0.586,5206,0.418,4552,0.757,,,,,,,,,,,,
Parambu (CE),4841,0.57,5154,0.526,4693,0.46,4329,0.764,,,,,,,,,,,,
Cuitegi (PB),4841,0.57,4376,0.563,4839,0.45,5105,0.732,,,,,,,,,,,,
Campo Alegre (AL),4841,0.57,5075,0.531,4532,0.47,4936,0.742,,,,,,,,,,,,
Serra Redonda (PB),4841,0.57,4322,0.565,5145,0.424,4064,0.772,,,,,,,,,,,,
Vitorino Freire (MA),4841,0.57,4376,0.563,4390,0.477,5527,0.688,,,,,,,,,,,,
Juazeiro do Piau  (PI),4841,0.57,5215,0.522,4532,0.47,4661,0.753,,,,,,,,,,,,
Lizarda (TO),4841,0.57,3894,0.584,5229,0.415,4304,0.765,,,,,,,,,,,,
Santo Ant nio do Retiro (MG),4841,0.57,5393,0.504,4544,0.469,3670,0.784,,,,,,,,,,,,
Maracan  (PA),4841,0.57,5021,0.534,4774,0.454,4329,0.764,,,,,,,,,,,,
Juru (PB),4841,0.57,4628,0.552,4920,0.443,4509,0.758,,,,,,,,,,,,
Aiuaba (CE),4869,0.569,5259,0.518,4447,0.474,4770,0.749,,,,,,,,,,,,
Sap  (PB),4869,0.569,4376,0.563,4672,0.461,5388,0.711,,,,,,,,,,,,
Canhoba (SE),4869,0.569,4609,0.553,4646,0.462,5268,0.722,,,,,,,,,,,,
Japi (RN),4869,0.569,5127,0.528,4332,0.48,5207,0.726,,,,,,,,,,,,
Igarap  do Meio (MA),4869,0.569,5096,0.53,3868,0.506,5530,0.687,,,,,,,,,,,,
Governador Nunes Freire (MA),4869,0.569,4903,0.54,4487,0.472,5268,0.722,,,,,,,,,,,,
S o Jo o da Ponte (MG),4869,0.569,4476,0.559,5197,0.419,3629,0.786,,,,,,,,,,,,
Centen rio (TO),4869,0.569,4180,0.571,4672,0.461,5476,0.7,,,,,,,,,,,,
Taipu (RN),4869,0.569,4804,0.544,5011,0.435,3831,0.778,,,,,,,,,,,,
Panelas (PE),4869,0.569,4757,0.546,5053,0.433,3831,0.778,,,,,,,,,,,,
Rio do Fogo (RN),4869,0.569,4757,0.546,4733,0.457,5008,0.738,,,,,,,,,,,,
Maravilha (AL),4869,0.569,4927,0.539,4693,0.46,4936,0.742,,,,,,,,,,,,
Janda ra (RN),4869,0.569,4425,0.561,4646,0.462,5405,0.709,,,,,,,,,,,,
Caapiranga (AM),4869,0.569,4804,0.544,4999,0.436,3948,0.775,,,,,,,,,,,,
Guajeru (BA),4869,0.569,4720,0.548,4988,0.437,4131,0.77,,,,,,,,,,,,
Careiro da V rzea (AM),4884,0.568,5206,0.523,4839,0.45,3775,0.779,,,,,,,,,,,,
Apicum-A u (MA),4884,0.568,5110,0.529,4272,0.483,5321,0.718,,,,,,,,,,,,
Cort s (PE),4884,0.568,4876,0.541,4373,0.478,5423,0.707,,,,,,,,,,,,
Porto da Folha (SE),4884,0.568,4963,0.537,4646,0.462,4989,0.739,,,,,,,,,,,,
Messias (AL),4884,0.568,4529,0.557,4693,0.46,5359,0.714,,,,,,,,,,,,
Caldas Brand o (PB),4884,0.568,4403,0.562,4821,0.451,5254,0.723,,,,,,,,,,,,
General Sampaio (CE),4884,0.568,4720,0.548,4852,0.449,4893,0.744,,,,,,,,,,,,
Salgado de S o F lix (PB),4884,0.568,5075,0.531,4862,0.448,4131,0.77,,,,,,,,,,,,
Sucupira do Riach o (MA),4884,0.568,4945,0.538,4874,0.447,4430,0.761,,,,,,,,,,,,
Riacho dos Cavalos (PB),4884,0.568,4757,0.546,4874,0.447,4697,0.752,,,,,,,,,,,,
Gon alves Dias (MA),4884,0.568,4855,0.542,4902,0.445,4509,0.758,,,,,,,,,,,,
Anadia (AL),4884,0.568,4757,0.546,4909,0.444,4579,0.756,,,,,,,,,,,,
Pedro Velho (RN),4884,0.568,4403,0.562,4936,0.442,5008,0.738,,,,,,,,,,,,
Our m (PA),4884,0.568,4089,0.575,4973,0.438,5193,0.727,,,,,,,,,,,,
Aurelino Leal (BA),4884,0.568,4565,0.555,5031,0.434,4484,0.759,,,,,,,,,,,,
Congonhas do Norte (MG),4884,0.568,4288,0.566,5053,0.433,4860,0.746,,,,,,,,,,,,
Bananeiras (PB),4884,0.568,4565,0.555,5083,0.43,4272,0.766,,,,,,,,,,,,
Igreja Nova (AL),4884,0.568,4551,0.556,5104,0.428,4100,0.771,,,,,,,,,,,,
Breu Branco (PA),4884,0.568,4565,0.555,5173,0.422,3726,0.781,,,,,,,,,,,,
Pureza (RN),4903,0.567,5284,0.516,4742,0.456,3987,0.774,,,,,,,,,,,,
Boa Nova (BA),4903,0.567,5008,0.535,4793,0.453,4661,0.753,,,,,,,,,,,,
S o Miguel do Aleixo (SE),4903,0.567,4180,0.571,5145,0.424,4661,0.753,,,,,,,,,,,,
Casinhas (PE),4903,0.567,5259,0.518,4183,0.489,5284,0.721,,,,,,,,,,,,
Canind  de S o Francisco (SE),4903,0.567,4288,0.566,5011,0.435,4958,0.741,,,,,,,,,,,,
Massaranduba (PB),4903,0.567,4628,0.552,4948,0.441,4826,0.747,,,,,,,,,,,,
Jussari (BA),4903,0.567,4054,0.577,4821,0.451,5487,0.699,,,,,,,,,,,,
Rodrigues Alves (AC),4903,0.567,5259,0.518,4390,0.477,5049,0.736,,,,,,,,,,,,
Camala  (PB),4903,0.567,4698,0.549,5071,0.431,4131,0.77,,,,,,,,,,,,
Euclides da Cunha (BA),4903,0.567,4322,0.565,5083,0.43,4770,0.749,,,,,,,,,,,,
Pedra (PE),4903,0.567,4670,0.55,4902,0.445,4916,0.743,,,,,,,,,,,,
Santa Helena de Minas (MG),4903,0.567,5075,0.531,4447,0.474,5254,0.723,,,,,,,,,,,,
Magalh es de Almeida (MA),4903,0.567,5415,0.502,3988,0.499,5160,0.729,,,,,,,,,,,,
Santa Rosa do Piau  (PI),4903,0.567,4927,0.539,4272,0.483,5487,0.699,,,,,,,,,,,,
Barra de Santana (PB),4903,0.567,5154,0.526,4599,0.465,4826,0.747,,,,,,,,,,,,
Araruna (PB),4903,0.567,4698,0.549,4964,0.439,4509,0.758,,,,,,,,,,,,
Nova Reden  o (BA),4903,0.567,5021,0.534,4502,0.471,5254,0.723,,,,,,,,,,,,
Juazeirinho (PB),4903,0.567,4529,0.557,5011,0.435,4661,0.753,,,,,,,,,,,,
Cristino Castro (PI),4921,0.566,3853,0.586,5031,0.434,5367,0.713,,,,,,,,,,,,
Manoel Vitorino (BA),4921,0.566,4945,0.538,4742,0.456,4958,0.741,,,,,,,,,,,,
Uruoca (CE),4921,0.566,5401,0.503,4241,0.485,4876,0.745,,,,,,,,,,,,
Livramento (PB),4921,0.566,5206,0.523,4463,0.473,5105,0.732,,,,,,,,,,,,
Tapero  (BA),4921,0.566,4288,0.566,5123,0.426,4625,0.754,,,,,,,,,,,,
Barcelona (RN),4921,0.566,4351,0.564,4936,0.442,5207,0.726,,,,,,,,,,,,
Jatob  do Piau  (PI),4921,0.566,5172,0.525,4936,0.442,3751,0.78,,,,,,,,,,,,
Teofil ndia (BA),4921,0.566,4180,0.571,5071,0.431,5032,0.737,,,,,,,,,,,,
Nova Colinas (MA),4921,0.566,5415,0.502,4306,0.481,4770,0.749,,,,,,,,,,,,
Cal ado (PE),4921,0.566,5110,0.529,4560,0.468,5128,0.731,,,,,,,,,,,,
Mulungu do Morro (BA),4921,0.566,5271,0.517,4588,0.466,4661,0.753,,,,,,,,,,,,
Pimenteiras (PI),4921,0.566,4609,0.553,5164,0.423,3987,0.774,,,,,,,,,,,,
Conc rdia do Par  (PA),4921,0.566,4451,0.56,4973,0.438,4958,0.741,,,,,,,,,,,,
Vista Serrana (PB),4921,0.566,4583,0.554,5145,0.424,4028,0.773,,,,,,,,,,,,
Cubati (PB),4921,0.566,4779,0.545,4862,0.448,4936,0.742,,,,,,,,,,,,
Santo Ant nio dos Lopes (MA),4921,0.566,4740,0.547,4599,0.465,5359,0.714,,,,,,,,,,,,
Major Isidoro (AL),4921,0.566,4288,0.566,5145,0.424,4602,0.755,,,,,,,,,,,,
S o Jos  do Jacuri (MG),4921,0.566,3934,0.582,5215,0.417,4770,0.749,,,,,,,,,,,,
Lagoa do Mato (MA),4921,0.566,5172,0.525,4430,0.475,5207,0.726,,,,,,,,,,,,
Serra Preta (BA),4921,0.566,4876,0.541,4711,0.459,5105,0.732,,,,,,,,,,,,
Boa Vista do Ramos (AM),4941,0.565,5454,0.496,4259,0.484,4758,0.75,,,,,,,,,,,,
Samba ba (MA),4941,0.565,4855,0.542,4742,0.456,5175,0.728,,,,,,,,,,,,
S o Jos  de Princesa (PB),4941,0.565,5037,0.533,4920,0.443,4304,0.765,,,,,,,,,,,,
Mato Grosso (PB),4941,0.565,4288,0.566,5197,0.419,4452,0.76,,,,,,,,,,,,
Governador Archer (MA),4941,0.565,4779,0.545,4306,0.481,5530,0.687,,,,,,,,,,,,
Filad lfia (BA),4941,0.565,4609,0.553,4839,0.45,5207,0.726,,,,,,,,,,,,
Olho D' gua das Flores (AL),4941,0.565,4243,0.568,5173,0.422,4697,0.752,,,,,,,,,,,,
Mulungu (PB),4941,0.565,4720,0.548,5164,0.423,3831,0.778,,,,,,,,,,,,
Buritirama (BA),4941,0.565,5393,0.504,4502,0.471,4430,0.761,,,,,,,,,,,,
Vila Nova do Piau  (PI),4941,0.565,4476,0.559,4502,0.471,5535,0.685,,,,,,,,,,,,
